epoch,train_loss,val_loss,train_reg,val_reg,train_edge,val_edge,train_tv,val_tv,lr
14,0.018511,0.011403,0.016975,0.011061,0.007682,0.001712,0.002371,0.002143,9.52889391e-05
15,0.018292,0.011191,0.016980,0.010749,0.006563,0.002213,0.002526,0.002685,9.46048229e-05
16,0.017265,0.010960,0.015767,0.009949,0.007494,0.005054,0.002865,0.003374,9.38771807e-05
17,0.018253,0.010948,0.016066,0.010234,0.010934,0.003571,0.003038,0.002928,9.31067303e-05
18,0.018245,0.011036,0.016397,0.010167,0.009239,0.004346,0.002908,0.002763,9.22942323e-05
19,0.019012,0.011020,0.017116,0.010293,0.009480,0.003635,0.002717,0.002701,9.14404884e-05
20,0.017317,0.010912,0.016074,0.009923,0.006218,0.004942,0.003024,0.003446,9.05463412e-05
21,0.017291,0.010798,0.015164,0.009517,0.010638,0.006405,0.003519,0.003201,8.96126731e-05
22,0.017211,0.010697,0.015407,0.009677,0.009020,0.005099,0.003628,0.003616,8.86404055e-05
23,0.017930,0.010827,0.015807,0.009749,0.010616,0.005394,0.003537,0.002989,8.76304979e-05
24,0.017842,0.010637,0.015585,0.009754,0.011289,0.004412,0.003291,0.003408,8.65839471e-05
25,0.017705,0.010655,0.015904,0.009904,0.009003,0.003756,0.003409,0.003769,8.55017857e-05
26,0.018384,0.010714,0.015590,0.009809,0.013972,0.004527,0.003749,0.003300,8.43850817e-05
27,0.018078,0.010611,0.016308,0.009584,0.008847,0.005135,0.003506,0.003500,8.32349373e-05
28,0.017522,0.010629,0.015757,0.009619,0.008826,0.005049,0.003423,0.003835,8.20524875e-05
29,0.017388,0.010626,0.015172,0.009922,0.011082,0.003516,0.003990,0.003713,8.08388992e-05
30,0.017407,0.010604,0.015468,0.009692,0.009696,0.004558,0.003448,0.003433,7.95953700e-05
31,0.016716,0.010500,0.015096,0.009683,0.008098,0.004081,0.003581,0.004342,7.83231272e-05
32,0.017206,0.010570,0.015361,0.008940,0.009229,0.008153,0.003942,0.004227,7.70234264e-05
33,0.017415,0.010436,0.015589,0.009096,0.009131,0.006702,0.004062,0.004016,7.56975501e-05
34,0.017209,0.010517,0.014773,0.009811,0.012180,0.003529,0.003929,0.003901,7.43468069e-05
35,0.016977,0.010421,0.015006,0.009535,0.009850,0.004431,0.003755,0.004059,7.29725297e-05
36,0.018621,0.011370,0.015211,0.011149,0.017051,0.001101,0.004221,0.004005,7.15760749e-05
37,0.017587,0.010579,0.015710,0.009635,0.009387,0.004719,0.003501,0.003484,7.01588206e-05
38,0.018146,0.010565,0.016162,0.009927,0.009918,0.003190,0.003635,0.004010,6.87221654e-05
39,0.016895,0.010513,0.015381,0.009353,0.007572,0.005801,0.004071,0.004303,6.72675271e-05
40,0.018093,0.010550,0.015332,0.009887,0.013805,0.003316,0.003968,0.003910,6.57963412e-05
41,0.017387,0.010611,0.015360,0.010026,0.010132,0.002929,0.003704,0.003949,6.43100597e-05
42,0.017935,0.010688,0.015565,0.010151,0.011849,0.002684,0.003951,0.003936,6.28101494e-05
43,0.016719,0.010388,0.015253,0.009316,0.007332,0.005359,0.004053,0.004421,6.12980904e-05
44,0.018110,0.010414,0.015358,0.009570,0.013756,0.004218,0.004080,0.004089,5.97753751e-05
45,0.018246,0.011337,0.015665,0.011095,0.012906,0.001211,0.003861,0.003799,5.82435060e-05
46,0.018523,0.010770,0.016160,0.010161,0.011815,0.003046,0.003227,0.003621,5.67039951e-05
47,0.017046,0.010525,0.015693,0.009665,0.006766,0.004303,0.003490,0.004083,5.51583615e-05
48,0.017461,0.010595,0.015916,0.009713,0.007729,0.004415,0.004009,0.004449,5.36081307e-05
49,0.018047,0.011186,0.015029,0.010945,0.015092,0.001207,0.004190,0.004189,5.20548326e-05
50,0.017523,0.010788,0.014910,0.010248,0.013063,0.002701,0.003771,0.003766,5.05000000e-05
51,0.017806,0.010673,0.016135,0.010119,0.008351,0.002767,0.003466,0.004044,4.89451674e-05
52,0.017397,0.010678,0.015362,0.010183,0.010176,0.002479,0.003926,0.004230,4.73918693e-05
1,0.485212,0.326964,0.485212,0.326964,0.014210,0.001582,3.00000000e-04
2,0.131388,0.089808,0.131388,0.089808,0.005546,0.001141,3.00000000e-04
3,0.135768,0.089341,0.135768,0.089341,0.005986,0.001720,3.00000000e-04
4,0.125667,0.081631,0.125667,0.081631,0.006668,0.003708,3.00000000e-04
5,0.117627,0.080400,0.117627,0.080400,0.008401,0.004869,3.00000000e-04
6,0.125277,0.081504,0.125277,0.081504,0.006722,0.008144,3.00000000e-04
